datetime,epoch,memory_used,memory_free,gpu_0_memory_used,gpu_0_memory_free,gpu_1_memory_used,gpu_1_memory_free,gpu_2_memory_used,gpu_2_memory_free,gpu_3_memory_used,gpu_3_memory_free,gpu_4_memory_used,gpu_4_memory_free,gpu_5_memory_used,gpu_5_memory_free,gpu_6_memory_used,gpu_6_memory_free,gpu_7_memory_used,gpu_7_memory_free
2022-07-29 04:26:07.065875,0,57570705408,3466731520,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:09.069401,0,57572966400,3464560640,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:11.072704,0,57571688448,3465715712,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:13.075697,0,57571414016,3465498624,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:15.078985,0,57572139008,3465191424,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:17.082000,0,57573654528,3462725632,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:19.085319,0,57572958208,3464032256,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:21.089312,0,57574699008,3461754880,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:23.092343,0,57572139008,3464327168,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:25.095437,0,57571868672,3463528448,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:27.099842,0,57572990976,3460444160,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:29.103004,0,57572470784,3461529600,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:31.107681,0,57578098688,3455889408,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:33.110793,0,57572196352,3461791744,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:35.113879,0,57572110336,3461263360,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:37.116907,0,57572601856,3461386240,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:39.119893,0,57572413440,3461210112,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:41.122914,0,57578819584,3455557632,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:43.126240,0,57580158976,3452977152,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:45.129485,0,57579991040,3453505536,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:47.132581,0,57579622400,3453296640,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:49.135900,0,57580163072,3453218816,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:51.140994,0,57581654016,3451891712,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:53.144016,0,57578946560,3454840832,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:55.148780,0,58228928512,2804846592,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12614.4375,36525.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:57.151847,0,57579180032,3454586880,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:26:59.154940,0,57577697280,3455811584,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:27:01.158135,0,57577021440,3456282624,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:27:03.161520,0,57579401216,3454173184,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:27:05.164558,0,57578061824,3454373888,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:27:07.167587,0,57581703168,3452289024,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:27:09.169512,0,57585164288,3447631872,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
2022-07-29 04:27:11.172480,0,57583689728,3449311232,22327.4375,26812.5625,13714.4375,35425.5625,14080.4375,35059.5625,12990.4375,36149.5625,18828.4375,30311.5625,15928.4375,33211.5625,12752.4375,36387.5625,15874.4375,33265.5625
